Nitrogen,Phosphorus,Potassium,Temperature,Humidity,pH_Value,Rainfall,Fertilizer,Crop,Yield
80.0,24.0,20.0,28.0,59.9946077694961,5.783950179024505,107.9670908005201,80.0,Maize,12.0
78.0,23.0,20.0,27.0,61.234828051917006,6.056428762042833,88.57668452988746,77.0,Maize,12.0
80.0,24.0,20.0,26.0,58.63186277656866,6.605542303414983,92.7278835910683,80.0,Maize,12.0
80.0,24.0,20.0,28.0,57.24387899128764,6.786208886823781,93.59771476045259,80.0,Maize,12.0
78.0,23.0,19.0,27.0,63.970714089171075,7.155634070517167,91.89323769949614,78.0,Maize,12.0
80.0,24.0,20.0,28.0,57.29882184729465,6.56609916602781,81.24655092700702,80.0,Maize,12.0
75.0,22.0,19.0,26.0,56.25115316256527,5.9598699069158485,102.86245216030427,75.0,Maize,12.0
79.82364761858835,23.9878499578473,19.998700640230712,27.922954032753086,58.70568453944496,6.2990780610674015,88.44037719628245,80.00883794473356,Maize,11.889967734468776
79.97562647152222,24.015875822404887,20.037751655640903,28.06918080363221,54.17753256709115,6.621033613422577,103.58986339320577,79.9692234428006,Maize,11.910046246547845
77.90588947092608,22.91823343174151,19.248724105249256,26.93338959563916,57.62978257358701,6.12643216419437,87.8319190078436,78.10173940093789,Maize,12.222131710256551
77.82524735880052,22.91711686614269,20.017362641777908,26.91632952224534,61.60694422400591,6.338815711513265,85.60286495301924,77.02716937507523,Maize,12.203430985862074
80.1696830265527,24.11034127151678,20.06072343632725,28.15917810993781,56.375407608396436,5.767826202268144,83.45131563345325,79.9717236715814,Maize,12.18140887736545
77.88898295350498,23.14716802891009,19.050869386995974,26.88856690099702,67.3130408963106,6.695567518550679,87.6799860474086,77.88058524674771,Maize,12.106527393072906
79.9785613921696,24.06274554924038,20.04129658686693,25.909155878221927,62.372341319547495,6.640824276194864,70.66261916301129,80.12095989396411,Maize,11.990487369308877
80.07822936352784,24.02495582100312,20.06558421367733,28.078786736619847,53.37119464473681,6.271742112026593,89.7866418593513,80.1697411369782,Maize,11.94355723955301
77.99951035887916,22.99807353747811,19.949199239335183,27.22097692062296,50.76197328438769,7.064323119578271,95.56089939290719,77.09211193777195,Maize,11.966857279501758
79.95279390203343,24.08048811834132,20.075733171039325,28.120823573792308,55.19467849648255,5.677829831661743,69.48576013756815,80.00194037750225,Maize,12.02963999412006
79.92297394649056,24.049463738440995,20.05715123386484,28.191438563592538,70.35448388223583,6.881465705825616,87.51642066832048,79.9836564651905,Maize,11.855391684273965
80.17792529820404,23.972968398471487,19.97026992610728,28.049561339563837,58.85312612004849,7.298600642455637,82.6180168997083,79.98393759217656,Maize,12.028406739516695
80.12758797442434,23.791896778045267,20.14538868505696,27.935445264154268,54.96684246480388,7.312069773293361,95.26670501080946,79.9549273146619,Maize,12.111999059098896
80.0216008798656,23.98445588982253,20.01596419001636,27.88519837140194,72.21417278508048,7.083322861978415,96.87869358946122,80.0349616399594,Maize,12.0640628455565
79.93845579973897,23.986586304996923,19.919196456077813,27.860857841639184,63.17568745152407,5.955836945864495,91.42811762270746,80.02086357823528,Maize,12.01984490707565
80.0361205337653,24.07535434767075,20.10009667626573,28.14878451841642,67.60191147500983,6.095003826372569,88.44399679621743,79.94621099892106,Maize,12.0608676528414
77.97922430139865,22.82830744080403,19.98407963289835,27.12946513817399,63.60268217659432,6.80173225332176,101.1927015837387,77.19670531208688,Maize,11.93587420682858
77.82055950885542,23.07715028871899,20.05456444599804,26.77548376279516,63.12153116034375,6.280778143418981,98.548472482453,76.93860724717608,Maize,12.062469878079124
78.05981491149441,23.006123242689547,18.99632127644905,27.18479335544989,59.6755108420139,6.138014138101894,84.90109388359343,77.91759902329851,Maize,11.909595075220691
79.99172565700668,24.02828908795453,19.879493262392742,26.042943001302586,57.7239684762946,7.099567515773725,80.02106732506478,79.97481836053826,Maize,12.101224207295198
80.03711340797351,23.893424233261676,20.13006025081497,27.964995451688605,56.99815049177032,6.8817852197094,84.76053401123241,79.83092140837854,Maize,12.014364317244809
78.20337524480837,23.03535044237281,19.090752885708127,26.943850790281846,60.18746101679044,6.327235058086017,98.92029197157902,77.87287177900643,Maize,11.918391044768333
80.01226091021793,24.048961984752573,20.191036741330475,26.05778249307297,55.35455194473401,7.248356272174459,91.51603006044155,79.90194519963049,Maize,11.994879908202844
80.0154460444802,24.028003662828176,20.009700177831757,28.17413983491653,64.15378177130405,6.52110593405583,102.49611566483713,79.95633797991185,Maize,11.907858309754566
80.08833907295754,23.963518720108542,19.897487528536384,27.9962506754605,56.41700915509025,7.233095608275133,82.10777405890802,80.08663322863335,Maize,12.04993334267621
75.1724865577113,21.824098828868856,18.90227039844426,25.88185160909012,55.18657865517513,5.718957294306098,79.92289124277427,75.04507925512735,Maize,12.10953387968294
79.79394694433998,23.89016055360057,20.13873895663929,27.989742404330315,54.849343515104465,5.909318165278897,83.00910309117849,80.04282587235302,Maize,11.946383704728872
77.99496809636138,23.030978281919197,18.83698579266698,27.02287547453556,56.21354010935748,6.762218728014216,87.02661765379966,77.95024663155931,Maize,11.88440639656932
80.1182413262016,24.11680254341148,20.09313898890536,28.00368470054312,66.16933853860462,7.058582538067394,82.98500371906356,80.08823916144006,Maize,12.07576675615647
79.99401123953021,24.1090331807224,19.97740562706233,28.18222291131894,58.282477868492954,6.411037227802927,91.84132720627284,80.0628576627812,Maize,11.872625827424969
79.93784544028793,23.987103248047035,19.916378264832616,25.94342970237449,59.23395630922685,6.144368880004868,103.40271872681849,79.9597158953367,Maize,11.93139078974163
79.98391669871374,23.90981181613797,20.029711370316654,27.881408368098285,64.09371153013635,6.187246103115412,91.48852738372919,79.99909165208244,Maize,12.101139661029327
77.96181936933719,22.964850041304476,18.91685915689065,27.01498958837982,57.20598832501284,6.58249947785504,107.3245237562325,78.03146613809494,Maize,11.99979683332002
80.13285905655877,24.02539170663251,20.248366767451945,27.955248013233778,62.67168234375506,7.534818804173477,81.71023134442027,79.94752079984552,Maize,11.999564327725082
79.96273240976852,24.165282300629432,20.155082804844486,28.06828035177893,65.67474839198938,7.076870817102353,95.16389939481175,80.13613600339718,Maize,12.060750465609294
77.97377053242768,23.03648972125171,19.00302803949817,26.99310147989014,67.54724583678116,7.214819382679099,93.01662722617054,77.96526344020921,Maize,11.98107258451872
77.97730881961498,23.180734446865905,19.07873465192328,27.118360935071102,57.35415514943003,5.795959029492604,79.87242686159948,77.86353831263145,Maize,12.060606178074488
79.93477276762758,24.108485197364644,20.01075314837758,27.830073663112007,55.6876420235962,7.021514785727361,77.53111723100128,79.93624410371986,Maize,12.022494900055165
80.16938015948558,24.02838290504114,19.92738046444832,28.1536198509628,59.89037233227968,6.541242126843811,100.19661821776165,80.01215415727583,Maize,11.972944414894677
79.80942025593747,24.01059120941561,19.97703877664119,28.21094776855884,55.4998214719219,6.30906051384181,83.64857311391225,80.16741620172797,Maize,11.881186856571802
77.91230174379163,22.97949185299319,18.94701090788562,27.049539449646687,52.825165247219424,5.8292603814885915,87.2896349336569,77.97565186977344,Maize,12.156148014109524
80.15246693204507,24.05101050399324,19.95498399013468,25.97376063380904,48.38431979769774,6.453412387529255,76.94812600675547,80.1636098442908,Maize,12.042000011857668
79.91571477956897,23.963952374314413,20.124203382370112,27.955071293207677,67.71209854977108,6.494455673072551,87.68008352369928,80.22389341335685,Maize,11.954023147014755
